"","Rank","Name","Platform","Total_Shipped","Critic_Score","Year"
"1",1,"Wii Sports","Wii",82.86,7.7,2006
"2",2,"Super Mario Bros.","NES",40.24,10,1985
"3",3,"Mario Kart Wii","Wii",37.14,8.2,2008
"5",5,"Wii Sports Resort","Wii",33.09,8,2009
"6",6,"Pokemon Red / Green / Blue Version","GB",31.38,9.4,1998
"7",7,"New Super Mario Bros.","DS",30.8,9.1,2006
"9",9,"New Super Mario Bros. Wii","Wii",30.22,8.6,2009
"10",10,"Minecraft","PC",30.01,10,2010
"12",12,"Wii Play","Wii",28.02,5.9,2007
"13",13,"Kinect Adventures!","X360",24,6.7,2010
"14",14,"Nintendogs","DS",23.96,8.4,2005
"15",15,"Mario Kart DS","DS",23.6,9.1,2005
"16",16,"Pokemon Gold / Silver Version","GB",23.1,9.2,2000
"17",17,"Wii Fit","Wii",22.67,7.9,2008
"18",18,"Wii Fit Plus","Wii",21.13,8,2009
"19",19,"Super Mario World","SNES",20.61,8.5,1991
"22",22,"Brain Age: Train Your Brain in Minutes a Day","DS",19.01,8.1,2006
"25",25,"Mario Kart 7","3DS",18.11,8.2,2011
"26",26,"Pokemon Diamond / Pearl Version","DS",17.67,8.6,2007
"27",27,"Grand Theft Auto: San Andreas","PS2",17.3,9.5,2004
"29",29,"Pokemon X/Y","3DS",16.37,8.9,2013
"30",30,"Pokemon Ruby / Sapphire Version","GBA",16.22,8.8,2003
"32",32,"Pokemon Sun/Moon","3DS",16.14,9,2016
"34",34,"Pokemon Black / White Version","DS",15.64,8.6,2011
"36",36,"Mario Kart 8 Deluxe","NS",15.02,9.3,2017
"37",37,"Counter-Strike: Source","PC",15,9.3,2004
"39",39,"Gran Turismo 3: A-Spec","PS2",14.89,9.3,2001
"40",40,"Brain Age 2: More Training in Minutes a Day","DS",14.88,8,2007
"43",43,"Pokemon Yellow: Special Pikachu Edition","GB",14.64,8.7,1999
"44",44,"Halo 3","X360",14.5,9.6,2007
"49",49,"Super Mario Odyssey","NS",13.76,9.9,2017
"53",53,"Super Smash Bros. Brawl","Wii",13.29,9.2,2008
"55",55,"New Super Mario Bros. 2","3DS",13.08,7.5,2012
"56",56,"Portal 2","PC",13.06,9.7,2011
"58",58,"Super Mario Galaxy","Wii",12.78,9.7,2007
"59",59,"Pokemon Heart Gold / Soul Silver Version","DS",12.72,8.6,2010
"62",62,"Super Mario 3D Land","3DS",12.41,8.9,2011
"63",63,"Animal Crossing: New Leaf","3DS",12.1,8.6,2013
"64",64,"Super Smash Bros. Ultimate","NS",12.08,9.4,2018
"65",65,"Diablo III","PC",12,9,2012
"66",66,"Pokemon FireRed / LeafGreen Version","GBA",12,8.3,2004
"67",67,"Gran Turismo 5","PS3",11.95,8.3,2010
"68",68,"Super Mario 64","N64",11.91,9.7,1996
"70",70,"Gran Turismo 4","PS2",11.76,8.7,2005
